Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/chat,180,0,76,121.55788499916929,46.093500015558675,1170.2781999774743,812.85,1.5165327755059133,0.0,76,84,93,99,130,450,930,1000,1200,1200,1200
GET,/dev/users,10,0,2090.6312000006437,2066.2197199999355,2038.6154000007082,2090.6312000006437,1231.0,0.08425182086143963,0.0,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100
GET,/users/{id}/facts,402,0,9,9.417566418965157,3.396000014618039,18.31430001766421,952.2089552238806,3.386923198629873,0.0,9,10,12,12,14,15,15,16,18,18,18
,Aggregated,592,0,11,78.25756452748956,3.396000014618039,2090.6312000006437,914.5456081081081,4.987707794997226,0.0,11,15,65,71,91,120,1000,2100,2100,2100,2100
