Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/chat,1702,0,100,190.85084694458817,46.78800000692718,1168.4334999881685,887.1627497062279,14.275409831803875,0.0,100,120,150,170,510,820,1000,1000,1200,1200,1200
GET,/dev/users,100,0,2100,2132.901411000348,2052.5199999974575,2327.0448000112083,1231.0,0.8387432333609798,0.0,2100,2100,2100,2300,2300,2300,2300,2300,2300,2300,2300
GET,/users/{id}/facts,3833,0,7,23.725596764690454,2.5195999769493937,579.1613000037614,1034.6950169579964,32.14902813472636,0.0,7,9,10,11,22,88,340,430,550,580,580
,Aggregated,5635,0,10,111.6341606031557,2.5195999769493937,2327.0448000112083,993.6179236912157,47.263181199891214,0.0,10,66,95,100,190,500,1100,2100,2300,2300,2300
