Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/chat,22,0,3400,4038.591031814576,2258.9724000135902,14324.62139998097,1089.8636363636363,0.37018715257402035,0.0,3400,3700,4100,4600,6000,6100,14000,14000,14000,14000,14000
GET,/dev/users,5,0,2076.976400014246,2068.713019997813,2058.6606999859214,2076.976400014246,1231.0,0.08413344376682282,0.0,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100
GET,/users/{id}/facts,67,0,8,8.839465674697491,5.405000003520399,15.019600017694756,1036.0,1.1273881464754256,0.0,8,9,11,11,13,14,15,15,15,15,15
,Aggregated,94,0,10,1061.5405531927072,5.405000003520399,14324.62139998097,1058.9787234042553,1.5817087428162688,0.0,10,13,2100,2600,3500,4600,6100,14000,14000,14000,14000
