Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1789004098,5,,Aggregated,1.800000,0.000000,10,13,15,2100,3000,3500,3700,6100,6100,6100,6100,58,0,9,715.1115534501953,5.405000003520399,6051.878199999919,1062.8620689655172
1789004099,5,,Aggregated,1.500000,0.000000,9,13,15,2100,3000,3500,3700,6100,6100,6100,6100,60,0,9,691.4745766684064,5.405000003520399,6051.878199999919,1061.9666666666667
1789004100,5,,Aggregated,1.900000,0.000000,9,12,15,2100,2800,3400,3700,6100,6100,6100,6100,63,0,9,658.8629253983815,5.405000003520399,6051.878199999919,1060.7301587301588
1789004101,5,,Aggregated,1.900000,0.000000,9,12,15,2100,2800,3400,3700,6100,6100,6100,6100,63,0,9,658.8629253983815,5.405000003520399,6051.878199999919,1060.7301587301588
1789004102,5,,Aggregated,2.000000,0.000000,9,12,15,2100,2800,3400,3700,6100,6100,6100,6100,65,0,9,677.8128784637934,5.405000003520399,6051.878199999919,1059.7076923076922
1789004103,5,,Aggregated,2.000000,0.000000,9,12,15,2100,2800,3400,3700,6100,6100,6100,6100,65,0,9,677.8128784637934,5.405000003520399,6051.878199999919,1059.7076923076922
1789004104,5,,Aggregated,1.900000,0.000000,9,12,15,2100,2800,3400,3700,6100,6100,6100,6100,66,0,9,667.6757106082126,5.405000003520399,6051.878199999919,1059.3484848484848
1789004105,5,,Aggregated,1.900000,0.000000,9,13,15,2100,3300,3500,4900,6100,6100,6100,6100,69,0,9,760.6016463782314,5.405000003520399,6051.878199999919,1054.8840579710145
1789004106,5,,Aggregated,1.600000,0.000000,9,13,2100,2100,3300,3500,4900,6100,6100,6100,6100,70,0,9,786.6532242869392,5.405000003520399,6051.878199999919,1050.557142857143
1789004107,5,,Aggregated,1.600000,0.000000,9,13,2100,2100,3300,3700,4900,6100,6100,6100,6100,71,0,9,840.5934732405692,5.405000003520399,6051.878199999919,1050.4225352112676
1789004108,5,,Aggregated,1.700000,0.000000,9,13,2100,2100,3300,3700,4900,6100,6100,6100,6100,74,0,9,806.8512783793267,5.405000003520399,6051.878199999919,1049.837837837838
1789004110,5,,Aggregated,1.700000,0.000000,9,13,2100,2100,3300,3700,4900,6100,6100,6100,6100,74,0,9,806.8512783793267,5.405000003520399,6051.878199999919,1049.837837837838
1789004111,5,,Aggregated,1.300000,0.000000,9,13,2100,2100,3300,3700,4900,6100,6100,6100,6100,76,0,9,785.813407895866,5.405000003520399,6051.878199999919,1049.4736842105262
1789004112,5,,Aggregated,1.600000,0.000000,9,12,15,2100,3300,3700,4900,6100,6100,6100,6100,77,0,9,775.7140376636087,5.405000003520399,6051.878199999919,1049.2987012987012
1789004113,5,,Aggregated,1.300000,0.000000,9,12,2100,2100,3300,3700,4900,6100,6100,6100,6100,80,0,9,788.0210375009483,5.405000003520399,6051.878199999919,1050.6625
1789004114,5,,Aggregated,1.300000,0.000000,9,12,15,2100,3300,3500,4900,6100,6100,6100,6100,82,0,9,769.0734012207164,5.405000003520399,6051.878199999919,1050.3048780487804
1789004115,5,,Aggregated,1.400000,0.000000,9,12,2100,2100,3300,3700,6000,6100,6100,6100,6100,83,0,9,832.4985506036879,5.405000003520399,6051.878199999919,1062.698795180723
1789004116,5,,Aggregated,1.500000,0.000000,10,13,2100,2300,3300,3700,6000,6100,6100,6100,6100,84,0,9,849.4803821442821,5.405000003520399,6051.878199999919,1059.3333333333333
1789004117,5,,Aggregated,1.700000,0.000000,10,13,2100,2300,3300,3700,6000,6100,6100,6100,6100,85,0,10,839.6139305896427,5.405000003520399,6051.878199999919,1059.0588235294117
1789004118,5,,Aggregated,1.700000,0.000000,10,13,2100,2300,3300,3700,6000,6100,6100,6100,6100,85,0,10,839.6139305896427,5.405000003520399,6051.878199999919,1059.0588235294117
1789004119,5,,Aggregated,1.500000,0.000000,10,12,2100,2100,3300,3700,6000,6100,6100,6100,6100,86,0,9,829.918216280761,5.405000003520399,6051.878199999919,1058.7906976744187
1789004120,5,,Aggregated,1.500000,0.000000,10,13,2100,2400,3400,3700,6000,6100,6100,6100,6100,88,0,10,878.9162727288468,5.405000003520399,6051.878199999919,1058.0681818181818
1789004121,5,,Aggregated,1.500000,0.000000,10,13,2100,2400,3400,3700,6000,6100,6100,6100,6100,88,0,10,878.9162727288468,5.405000003520399,6051.878199999919,1058.0681818181818
1789004122,5,,Aggregated,1.100000,0.000000,10,13,2100,2400,3400,3700,6000,6100,6100,6100,6100,89,0,10,869.1420865184994,5.405000003520399,6051.878199999919,1057.8202247191011
1789004123,5,,Aggregated,1.400000,0.000000,10,13,2100,2500,3400,4000,6000,6100,6100,6100,6100,90,0,10,903.5533711126643,5.405000003520399,6051.878199999919,1054.6222222222223
1789004124,5,,Aggregated,1.200000,0.000000,10,13,2100,2400,3400,4000,6000,6100,6100,6100,6100,91,0,10,893.7082593421999,5.405000003520399,6051.878199999919,1054.4175824175825
1789004125,5,,Aggregated,1.200000,0.000000,10,13,2100,2400,3400,4000,6000,6100,6100,6100,6100,91,0,10,893.7082593421999,5.405000003520399,6051.878199999919,1054.4175824175825
1789004126,5,,Aggregated,1.000000,0.000000,10,13,2100,2500,3400,4100,6000,6100,6100,6100,6100,92,0,10,928.8277858710069,5.405000003520399,6051.878199999919,1056.7173913043478
1789004127,5,,Aggregated,1.000000,0.000000,10,13,2100,2500,3400,4100,6000,6100,6100,6100,6100,92,0,10,928.8277858710069,5.405000003520399,6051.878199999919,1056.7173913043478
1789004128,5,,Aggregated,0.800000,0.000000,10,13,2100,2600,3500,4600,6100,14000,14000,14000,14000,93,0,10,1072.8685774205762,5.405000003520399,14324.62139998097,1059.225806451613
1789004129,5,,Aggregated,0.700000,0.000000,10,13,2100,2600,3500,4600,6100,14000,14000,14000,14000,94,0,10,1061.5405531927072,5.405000003520399,14324.62139998097,1058.9787234042553
