Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1789003852,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1789003853,20,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1789003854,40,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1789003855,80,,Aggregated,0.000000,0.000000,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,40,0,250,1091.4705349990982,13.13750000554137,2086.299200018402,1092.825
1789003856,100,,Aggregated,0.000000,0.000000,240,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,89,0,240,977.2077516856698,3.1731000053696334,2109.888399980264,1073.7303370786517
1789003857,100,,Aggregated,13.333333,0.000000,120,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,145,0,120,894.5836006898578,3.1731000053696334,2109.888399980264,1070.5241379310344
1789003858,100,,Aggregated,13.333333,0.000000,120,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,203,0,120,853.9391201976721,3.1731000053696334,2109.888399980264,1067.655172413793
1789003859,100,,Aggregated,28.800000,0.000000,120,990,2100,2100,2100,2300,2300,2300,2300,2300,2300,299,0,120,775.9835896323424,3.1731000053696334,2327.0448000112083,1054.0234113712374
1789003860,100,,Aggregated,33.833333,0.000000,81,250,2100,2100,2100,2300,2300,2300,2300,2300,2300,347,0,81,671.9886806919487,3.1731000053696334,2327.0448000112083,1046.4322766570606
1789003861,100,,Aggregated,41.142857,0.000000,65,160,2100,2100,2100,2300,2300,2300,2300,2300,2300,392,0,60,599.0904484696125,3.114599996479228,2327.0448000112083,1039.1198979591836
1789003862,100,,Aggregated,40.875000,0.000000,49,130,350,2100,2100,2100,2300,2300,2300,2300,2300,445,0,49,534.3912020225596,3.114599996479228,2327.0448000112083,1030.7056179775282
1789003863,100,,Aggregated,42.333333,0.000000,42,110,250,2100,2100,2100,2300,2300,2300,2300,2300,484,0,41,494.4068398763193,3.114599996479228,2327.0448000112083,1026.5144628099174
1789003864,100,,Aggregated,42.900000,0.000000,35,110,160,440,2100,2100,2300,2300,2300,2300,2300,540,0,35,446.90742574118,3.114599996479228,2327.0448000112083,1023.0796296296296
1789003865,100,,Aggregated,47.300000,0.000000,29,100,140,280,2100,2100,2300,2300,2300,2300,2300,581,0,29,417.1666834769304,3.114599996479228,2327.0448000112083,1021.6746987951807
1789003866,100,,Aggregated,52.100000,0.000000,32,100,150,310,2100,2100,2300,2300,2300,2300,2300,632,0,31,400.1535466774805,3.114599996479228,2327.0448000112083,1018.8037974683544
1789003867,100,,Aggregated,52.900000,0.000000,27,99,140,250,2100,2100,2300,2300,2300,2300,2300,673,0,27,377.73518900469674,3.114599996479228,2327.0448000112083,1016.9895988112927
1789003868,100,,Aggregated,50.600000,0.000000,24,97,130,230,2100,2100,2300,2300,2300,2300,2300,725,0,24,353.56967682785614,3.114599996479228,2327.0448000112083,1015.2358620689655
1789003869,100,,Aggregated,51.200000,0.000000,23,96,120,160,2100,2100,2300,2300,2300,2300,2300,779,0,23,331.7981616175684,3.114599996479228,2327.0448000112083,1013.4069319640565
